,Task,Core,Start,End,Rank
0,41357,0,0.0,120.0,322560.0
1,41361,0,120.0,240.0,322440.0
2,41368,0,240.0,360.0,322320.0
3,41376,0,360.0,480.0,322200.0
4,41392,0,480.0,600.0,322080.0
5,41398,0,600.0,720.0,321960.0
6,41382,0,720.0,840.0,321960.0
7,41417,0,840.0,960.0,321840.0
8,41424,0,960.0,1080.0,321720.0
9,41440,0,1080.0,1200.0,321600.0
10,41466,0,1200.0,1320.0,321480.0
11,41502,0,1320.0,1440.0,321360.0
12,41456,0,1440.0,1560.0,321360.0
13,41512,0,1560.0,1680.0,321240.0
14,41533,0,1680.0,1800.0,321120.0
15,41540,0,1800.0,1920.0,321000.0
16,41553,0,1920.0,2040.0,320880.0
17,41565,0,2040.0,2160.0,320760.0
18,41581,0,2160.0,2280.0,320640.0
19,41571,0,2280.0,2400.0,320640.0
20,41604,0,2400.0,2520.0,320520.0
21,41588,0,2520.0,2640.0,320520.0
22,41624,0,2640.0,2760.0,320400.0
23,41629,0,2760.0,2880.0,320280.0
24,41615,0,2880.0,3000.0,320280.0
25,41653,0,3000.0,3120.0,320160.0
26,41667,0,3120.0,3240.0,320040.0
27,41675,0,3240.0,3360.0,319920.0
28,41696,0,3360.0,3480.0,319800.0
29,41635,0,3480.0,3600.0,319800.0
30,41711,0,3600.0,3720.0,319680.0
31,41661,0,3720.0,3840.0,319680.0
32,41716,0,3840.0,3960.0,319560.0
33,41728,0,3960.0,4080.0,319440.0
34,41752,0,4080.0,4200.0,319320.0
35,41759,0,4200.0,4320.0,319200.0
36,41743,0,4320.0,4440.0,319200.0
37,41775,0,4440.0,4560.0,319080.0
38,41782,0,4560.0,4680.0,318960.0
39,41799,0,4680.0,4800.0,318840.0
40,41632,0,4800.0,4920.0,318720.0
41,41633,0,4920.0,5040.0,318600.0
42,41643,0,5040.0,5160.0,318480.0
43,41649,0,5160.0,5280.0,318360.0
44,41654,0,5280.0,5400.0,318240.0
45,41668,0,5400.0,5520.0,318120.0
46,41676,0,5520.0,5640.0,318000.0
47,41683,0,5640.0,5760.0,317880.0
48,41703,0,5760.0,5880.0,317760.0
49,41710,0,5880.0,6000.0,317640.0
50,41717,0,6000.0,6120.0,317520.0
51,41742,0,6120.0,6240.0,317400.0
52,41765,0,6240.0,6360.0,317280.0
53,41786,0,6360.0,6480.0,317160.0
54,41801,0,6480.0,6600.0,317040.0
55,41723,0,6600.0,6720.0,317040.0
56,41806,0,6720.0,6840.0,316920.0
57,41665,0,6840.0,6960.0,316920.0
58,41817,0,6960.0,7080.0,316800.0
59,41773,0,7080.0,7200.0,316800.0
60,41842,0,7200.0,7320.0,316680.0
61,41677,0,7320.0,7440.0,316680.0
62,41781,0,7440.0,7560.0,316560.0
63,41681,0,7560.0,7680.0,316560.0
64,41865,0,7680.0,7800.0,316440.0
65,41854,0,7800.0,7920.0,316440.0
66,41886,0,7920.0,8040.0,316320.0
67,41832,0,8040.0,8160.0,316320.0
68,41939,0,8160.0,8280.0,316200.0
69,41916,0,8280.0,8400.0,316200.0
70,41949,0,8400.0,8520.0,316080.0
71,41724,0,8520.0,8640.0,316080.0
72,41957,0,8640.0,8760.0,315960.0
73,41751,0,8760.0,8880.0,315960.0
74,41731,0,8880.0,9000.0,315960.0
75,41778,0,9000.0,9120.0,315840.0
76,41757,0,9120.0,9240.0,315840.0
77,41981,0,9240.0,9360.0,315720.0
78,41802,0,9360.0,9480.0,315720.0
79,41792,0,9480.0,9600.0,315720.0
80,42038,0,9600.0,9720.0,315600.0
81,42019,0,9720.0,9840.0,315600.0
82,41815,0,9840.0,9960.0,315600.0
83,41744,0,9960.0,10080.0,315600.0
84,42026,0,10080.0,10200.0,315480.0
85,41828,0,10200.0,10320.0,315480.0
86,42092,0,10320.0,10440.0,315360.0
87,41839,0,10440.0,10560.0,315360.0
88,42109,0,10560.0,10680.0,315240.0
89,42052,0,10680.0,10800.0,315240.0
90,41845,0,10800.0,10920.0,315240.0
91,41784,0,10920.0,11040.0,315240.0
92,42114,0,11040.0,11160.0,315120.0
93,41889,0,11160.0,11280.0,315120.0
94,41856,0,11280.0,11400.0,315120.0
95,41823,0,11400.0,11520.0,315120.0
96,42150,0,11520.0,11640.0,315000.0
97,42065,0,11640.0,11760.0,315000.0
98,41902,0,11760.0,11880.0,315000.0
99,42180,0,11880.0,12000.0,314880.0
100,42163,0,12000.0,12120.0,314880.0
101,41917,0,12120.0,12240.0,314880.0
102,42185,0,12240.0,12360.0,314760.0
103,41961,0,12360.0,12480.0,314760.0
104,41927,0,12480.0,12600.0,314760.0
105,41906,0,12600.0,12720.0,314760.0
106,42210,0,12720.0,12840.0,314640.0
107,41982,0,12840.0,12960.0,314640.0
108,41912,0,12960.0,13080.0,314640.0
109,42225,0,13080.0,13200.0,314520.0
110,41975,0,13200.0,13320.0,314520.0
111,42297,0,13320.0,13440.0,314400.0
112,42231,0,13440.0,13560.0,314400.0
113,42024,0,13560.0,13680.0,314400.0
114,42321,0,13680.0,13800.0,314280.0
115,42237,0,13800.0,13920.0,314280.0
116,42041,0,13920.0,14040.0,314280.0
117,42340,0,14040.0,14160.0,314160.0
118,41954,0,14160.0,14280.0,314160.0
119,42350,0,14280.0,14400.0,314040.0
120,42301,0,14400.0,14520.0,314040.0
121,41997,0,14520.0,14640.0,314040.0
122,42316,0,14640.0,14760.0,313920.0
123,42001,0,14760.0,14880.0,313920.0
124,42359,0,14880.0,15000.0,313800.0
125,42046,0,15000.0,15120.0,313800.0
126,42409,0,15120.0,15240.0,313680.0
127,42105,0,15240.0,15360.0,313680.0
128,42428,0,15360.0,15480.0,313560.0
129,42401,0,15480.0,15600.0,313560.0
130,42112,0,15600.0,15720.0,313560.0
131,42123,0,15720.0,15840.0,313440.0
132,42108,0,15840.0,15960.0,313440.0
133,42446,0,15960.0,16080.0,313320.0
134,42130,0,16080.0,16200.0,313320.0
135,42367,0,16200.0,16320.0,313200.0
136,42140,0,16320.0,16440.0,313200.0
137,42478,0,16440.0,16560.0,313080.0
138,42435,0,16560.0,16680.0,313080.0
139,42143,0,16680.0,16800.0,313080.0
140,42473,0,16800.0,16920.0,312960.0
141,42178,0,16920.0,17040.0,312960.0
142,42500,0,17040.0,17160.0,312840.0
143,42188,0,17160.0,17280.0,312840.0
144,42532,0,17280.0,17400.0,312720.0
145,42196,0,17400.0,17520.0,312720.0
146,42538,0,17520.0,17640.0,312600.0
147,42201,0,17640.0,17760.0,312600.0
148,42223,0,17760.0,17880.0,312480.0
149,42228,0,17880.0,18000.0,312360.0
150,41501,0,18000.0,18120.0,312240.0
151,41507,0,18120.0,18240.0,312120.0
152,41511,0,18240.0,18360.0,312000.0
153,41514,0,18360.0,18480.0,311880.0
154,41519,0,18480.0,18600.0,311760.0
155,41526,0,18600.0,18720.0,311640.0
156,41532,0,18720.0,18840.0,311520.0
157,41538,0,18840.0,18960.0,311400.0
158,41557,0,18960.0,19080.0,311280.0
159,41563,0,19080.0,19200.0,311160.0
160,41570,0,19200.0,19320.0,311040.0
161,41587,0,19320.0,19440.0,310920.0
162,41597,0,19440.0,19560.0,310800.0
163,41608,0,19560.0,19680.0,310680.0
164,41636,0,19680.0,19800.0,310560.0
165,41622,0,19800.0,19920.0,310560.0
166,41613,0,19920.0,20040.0,310560.0
167,41656,0,20040.0,20160.0,310440.0
168,41644,0,20160.0,20280.0,310440.0
169,41684,0,20280.0,20400.0,310320.0
170,41715,0,20400.0,20520.0,310200.0
171,41761,0,20520.0,20640.0,310080.0
172,41747,0,20640.0,20760.0,310080.0
173,41766,0,20760.0,20880.0,309960.0
174,41774,0,20880.0,21000.0,309840.0
175,41797,0,21000.0,21120.0,309720.0
176,41730,0,21120.0,21240.0,309720.0
