,Task,Core,Start,End,Rank
0,1,0,0.0,2843.6552354,18045.347102900003
1,2,0,2843.6552354,6499.7264863,15201.691867500002
2,5,0,6499.7264863,11565.5175099,11545.620616600001
3,7,0,11565.5175099,15444.220621100001,9131.2826452
4,9,0,15444.220621100001,20696.8001551,5252.579534
5,10,0,20696.8001551,23580.439512200002,2883.6393571
6,3,1,6499.7264863,9241.7087239,2741.9822376
7,4,1,9241.7087239,13407.9330569,9282.232149899999
8,8,1,13407.9330569,17004.1232928,6479.829593
9,6,1,17004.1232928,22120.1311097,5116.0078169
