,Task,Core,Start,End,Rank
0,919,0,0.0,3838.0837369,1435770.9733583005
1,927,0,3838.0837369,6392.4643117,1431932.8896214005
2,930,0,6392.4643117,8055.724039199999,1429378.5090466004
3,931,0,8055.724039199999,11419.1163834,1427715.2493191005
4,933,0,11419.1163834,16955.377732,1424351.8569749005
5,934,0,16955.377732,19392.9668135,1418815.5956263004
6,915,0,19392.9668135,21704.158064,1416378.0065448005
7,917,0,21704.158064,29466.1442587,1414066.8152943004
8,918,0,29466.1442587,34228.6303635,1406304.8290996004
9,920,0,34228.6303635,38219.3570502,1401542.3429948005
10,928,0,38219.3570502,40863.9081938,1397551.6163081005
11,929,0,40863.9081938,42477.349925200004,1394907.0651645006
12,932,0,42477.349925200004,47052.720839300004,1393293.6234331005
13,516,0,47052.720839300004,47302.885416200006,1388718.2525190006
14,517,0,47302.885416200006,53125.7401697,1388468.0879421006
15,518,0,53125.7401697,56053.496932,1382645.2331886005
16,519,0,56053.496932,57687.950474900004,1379717.4764263006
17,520,0,57687.950474900004,64792.9926282,1378083.0228834006
18,525,0,64792.9926282,69841.679261,1370977.9807301005
19,526,0,69841.679261,76397.6623869,1365929.2940973006
20,527,0,76397.6623869,79357.4074688,1359373.3109714007
21,521,0,79357.4074688,87309.3290377,1356413.5658895008
22,522,0,87309.3290377,94705.4344423,1348461.6443206007
23,523,0,94705.4344423,95123.9116644,1341065.5389160006
24,524,0,95123.9116644,98762.8094312,1340647.0616939007
25,947,0,98762.8094312,101890.8942492,1337008.1639271008
26,949,0,101890.8942492,108554.4761774,1333880.0791091009
27,957,0,108554.4761774,109878.04309100001,1327216.4971809008
28,960,0,109878.04309100001,110082.73315340001,1325892.9302673007
29,956,0,110082.73315340001,111993.47654680001,1325688.2402049007
30,958,0,111993.47654680001,113317.04346040002,1323777.4968115008
31,959,0,113317.04346040002,114704.10775650002,1322453.9298979007
32,961,0,114704.10775650002,121195.55176710001,1321066.8656018006
33,954,0,121195.55176710001,126255.68265410002,1314575.4215912006
34,955,0,126255.68265410002,130970.22530880001,1309515.2907042007
35,966,0,130970.22530880001,133107.2302244,1304800.7480495006
36,969,0,133107.2302244,134903.4018368,1302663.7431339007
37,972,0,134903.4018368,140942.50731090002,1300867.5715215006
38,878,0,140942.50731090002,143171.5968207,1294828.4660474006
39,880,0,143171.5968207,147018.1881395,1292599.3765376005
40,883,0,147018.1881395,150835.43656270002,1288752.7852188004
41,886,0,150835.43656270002,155132.28427570002,1284935.5367956003
42,892,0,155132.28427570002,163068.3578936,1280638.6890826004
43,893,0,163068.3578936,170242.42065100002,1272702.6154647004
44,885,0,170242.42065100002,176764.2342393,1265528.5527073003
45,887,0,176764.2342393,179261.3854813,1259006.7391190003
46,889,0,179261.3854813,187103.3699718,1256509.5878770002
47,890,0,187103.3699718,193347.5104514,1248667.6033865002
48,891,0,193347.5104514,196700.84142,1242423.4629069
49,881,0,196700.84142,204080.045218,1239070.1319383
50,882,0,204080.045218,210241.58525250002,1231690.9281403
51,884,0,210241.58525250002,210841.89938800002,1225529.3881058001
52,888,0,210841.89938800002,216834.11752730003,1224929.0739703001
53,900,0,216834.11752730003,219189.84915880003,1218936.8558310003
54,291,0,219189.84915880003,227133.61014500004,1216581.1241995003
55,292,0,227133.61014500004,231246.87892260004,1208637.3632133002
56,293,0,231246.87892260004,238320.43448040003,1204524.0944357002
57,294,0,238320.43448040003,244166.66948220003,1197450.5388779002
58,295,0,244166.66948220003,244683.82114340004,1191604.3038761
59,300,0,244683.82114340004,246425.53583470004,1191087.1522149001
60,301,0,246425.53583470004,250921.98219540005,1189345.4375236002
61,302,0,250921.98219540005,255013.89696850005,1184848.9911629
62,296,0,255013.89696850005,261563.06179480004,1180757.0763898
63,297,0,261563.06179480004,265491.652843,1174207.9115635
64,298,0,265491.652843,268450.470401,1170279.3205153001
65,299,0,268450.470401,276196.3287857,1167320.5029573
66,1111,0,276196.3287857,280444.4677717,1159574.6445726
67,1113,0,280444.4677717,287576.2698272,1155326.5055866
68,1117,0,287576.2698272,290336.64787559997,1148194.7035311
69,1123,0,290336.64787559997,291929.0263171,1145434.3254827
70,1129,0,291929.0263171,296058.28314849996,1143841.9470412
71,1132,0,296058.28314849996,296204.94106149994,1139712.6902098
72,1115,0,296204.94106149994,300020.05516259995,1139566.0322967998
73,1116,0,300020.05516259995,300313.56175399997,1135750.9181956998
74,1122,0,300313.56175399997,300471.954735,1135457.4116043
75,1126,0,300471.954735,306419.0713664,1135299.0186233
76,1112,0,306419.0713664,313752.2509542,1129351.9019918998
77,1114,0,313752.2509542,319529.95749339997,1122018.7224040998
78,1118,0,319529.95749339997,320067.4018279,1116241.0158648998
79,1124,0,320067.4018279,326055.5586223,1115703.5715303998
80,1128,0,326055.5586223,330398.77035119996,1109715.414736
81,1131,0,330398.77035119996,338183.75389769993,1105372.2030071
82,1091,0,338183.75389769993,341676.6461932999,1097587.2194605998
83,1094,0,341676.6461932999,343299.7223373999,1094094.327165
84,1096,0,343299.7223373999,345982.1693685999,1092471.2510209
85,1103,0,345982.1693685999,353899.96585829987,1089788.8039897
86,1098,0,353899.96585829987,356955.77062779985,1081871.0075
87,1099,0,356955.77062779985,357452.22250869987,1078815.2027305001
88,1100,0,357452.22250869987,359000.34872459987,1078318.7508496002
89,1120,0,359000.34872459987,364984.86317159986,1076770.6246337001
90,1127,0,364984.86317159986,370724.6237762999,1070786.1101867
91,1092,0,370724.6237762999,373350.6765136999,1065046.349582
92,1093,0,373350.6765136999,373777.20122689987,1062420.2968446
93,1097,0,373777.20122689987,376026.4413521999,1061993.7721314
94,570,0,376026.4413521999,378735.9925180999,1059744.5320061
95,571,0,378735.9925180999,384932.8017630999,1057034.9808402
96,572,0,384932.8017630999,386556.9601856999,1050838.1715952002
97,573,0,386556.9601856999,392017.77405589994,1049214.0131726002
98,577,0,392017.77405589994,394381.43416869995,1043753.1993024001
99,578,0,394381.43416869995,394901.91525429994,1041389.5391896002
100,579,0,394901.91525429994,398881.56996349996,1040869.0581040002
101,574,0,398881.56996349996,401644.1741572,1036889.4033948001
102,575,0,401644.1741572,403599.55107299995,1034126.7992011001
103,576,0,403599.55107299995,410743.3886662999,1032171.4222853001
104,1199,0,410743.3886662999,418717.46628989995,1025027.5846920001
105,1200,0,418717.46628989995,422053.32976469997,1017053.5070684
106,1206,0,422053.32976469997,428558.6822525,1013717.6435936
107,1208,0,428558.6822525,435939.73457469995,1007212.2911058001
108,1218,0,435939.73457469995,436936.29743269994,999831.2387836
109,1220,0,436936.29743269994,441422.90857989993,998834.6759256
110,1232,0,441422.90857989993,449102.86008769996,994348.0647784
111,1235,0,449102.86008769996,450839.86254009994,986668.1132706
112,1216,0,450839.86254009994,451950.69335839996,984931.1108181999
113,1217,0,451950.69335839996,454995.6960212,983820.2799998999
114,1219,0,454995.6960212,459534.85653299995,980775.2773370999
115,717,0,459534.85653299995,465524.2503419999,976236.1168252999
116,718,0,465524.2503419999,467953.0306799999,970246.7230162999
117,719,0,467953.0306799999,469676.4574472999,967817.9426782998
118,720,0,469676.4574472999,473815.9572615999,966094.5159109998
119,721,0,473815.9572615999,477203.8018808999,961955.0160966999
120,722,0,477203.8018808999,478322.0960909999,958567.1714773999
121,727,0,478322.0960909999,483238.8970774999,957448.8772672999
122,728,0,483238.8970774999,488132.2522820999,952532.0762807999
123,729,0,488132.2522820999,493996.5738604999,947638.7210761999
124,730,0,493996.5738604999,495374.0672583999,941774.3994977999
125,723,0,495374.0672583999,498753.79356359993,940396.9060998999
126,724,0,498753.79356359993,500047.35934489995,937017.1797946999
127,725,0,500047.35934489995,502163.45182579994,935723.6140133999
128,726,0,502163.45182579994,510103.99427029997,933607.5215324999
